Student_ID,Gender,Status,Course_Subject_Name,Grade,GWA,Semester,College,Year
28CCSTY120222023,1,REGULAR,Computer Programming 1,1.0,1.21,1sem,CCST,2022-2023
286CCSTY120222023,1,REGULAR,National Service Training Program,1.0,1.64,1sem,CCST,2022-2023
617CCSTY120222023,0,REGULAR,Introduction to Computing,1.0,1.73,1sem,CCST,2022-2023
37CCSTY120222023,0,REGULAR,Calculus 1,1.0,1.59,1sem,CCST,2022-2023
434CCSTY120222023,1,REGULAR,Introduction to Computing,1.0,1.73,1sem,CCST,2022-2023
787CCSTY120222023,0,REGULAR,"Philippine Indigenous Knowledge, Systems and Practices",1.0,1.64,1sem,CCST,2022-2023
48CCSTY120222023,1,REGULAR,Calculus 1,1.0,1.57,1sem,CCST,2022-2023
50CCSTY120222023,1,REGULAR,Calculus 1,1.0,1.8,1sem,CCST,2022-2023
660CCSTY120222023,0,REGULAR,Kontekstwalisadong Komunikasyon sa Filipino,1.0,1.68,1sem,CCST,2022-2023
968CCSTY120222023,1,REGULAR,Calculus 1,1.0,1.82,1sem,CCST,2022-2023
20CCSTY120222023,1,REGULAR,"Philippine Indigenous Knowledge, Systems and Practices",1.0,1.3,1sem,CCST,2022-2023
765CCSTY120222023,1,REGULAR,"Philippine Indigenous Knowledge, Systems and Practices",1.0,1.57,1sem,CCST,2022-2023
472CCSTY120222023,1,REGULAR,"Philippine Indigenous Knowledge, Systems and Practices",1.0,1.55,1sem,CCST,2022-2023
365CCSTY120222023,0,REGULAR,Reading in the Philippines History,1.0,2.0,1sem,CCST,2022-2023
713CCSTY120222023,0,REGULAR,PATHFit1 (Physical Activity Towards Health and Fitness 1),1.0,1.82,1sem,CCST,2022-2023
367CCSTY120222023,1,REGULAR,Calculus 1,1.0,1.84,1sem,CCST,2022-2023
812CCSTY120222023,1,REGULAR,English Skill Enhancement,1.0,1.7,1sem,CCST,2022-2023
415CCSTY120222023,1,REGULAR,English Skill Enhancement,1.0,1.57,1sem,CCST,2022-2023
7CCSTY120222023,0,REGULAR,National Service Training Program,1.0,1.25,1sem,CCST,2022-2023
193CCSTY120222023,0,REGULAR,Reading in the Philippines History,1.0,1.66,1sem,CCST,2022-2023
325CCSTY120222023,0,REGULAR,Kontekstwalisadong Komunikasyon sa Filipino,1.0,1.66,1sem,CCST,2022-2023
700CCSTY120222023,0,REGULAR,PATHFit1 (Physical Activity Towards Health and Fitness 1),1.0,1.7,1sem,CCST,2022-2023
318CCSTY120222023,0,REGULAR,National Service Training Program,1.0,1.64,1sem,CCST,2022-2023
404CCSTY120222023,0,REGULAR,Kontekstwalisadong Komunikasyon sa Filipino,1.0,1.7,1sem,CCST,2022-2023
279CCSTY120222023,0,REGULAR,Understanding Gender Equality,1.0,1.73,1sem,CCST,2022-2023
915CCSTY120222023,1,REGULAR,Computer Programming 1,1.0,1.84,1sem,CCST,2022-2023
480CCSTY120222023,0,REGULAR,Computer Programming 1,1.0,1.84,1sem,CCST,2022-2023
2CCSTY120222023,1,REGULAR,Kontekstwalisadong Komunikasyon sa Filipino,1.0,1.24,1sem,CCST,2022-2023
427CCSTY120222023,1,REGULAR,Understanding Gender Equality,1.0,1.8,1sem,CCST,2022-2023
491CCSTY120222023,0,REGULAR,National Service Training Program,1.0,1.68,1sem,CCST,2022-2023
15CCSTY120222023,1,REGULAR,Understanding Gender Equality,1.0,1.28,1sem,CCST,2022-2023
485CCSTY120222023,1,REGULAR,Calculus 1,1.0,1.73,1sem,CCST,2022-2023
21CCSTY120222023,1,REGULAR,Understanding Gender Equality,1.0,1.32,1sem,CCST,2022-2023
151CCSTY120222023,0,REGULAR,Mathematics in the Modern World,1.0,1.91,1sem,CCST,2022-2023
550CCSTY120222023,1,REGULAR,Understanding Gender Equality,1.0,1.77,1sem,CCST,2022-2023
23CCSTY120222023,1,REGULAR,Understanding Gender Equality,1.0,1.28,1sem,CCST,2022-2023
