Student_ID,Student_Seq,Gender,College,Course,Semester,Year,Year_Numeric,Sem_Numeric,GWA,Avg_Grade,Std_Grade,Sub_Count,Min_Grade,Max_Grade,is_inc,is_drop,fail_count,fail_rate,inc_rate,drop_rate,is_irregular
1000_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1000,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.2,2.2,0.3689323936863109,10,1.75,2.75,0,0,0,0.0,0,0,0
1001_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1001,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.0,2.0,0.0,2,2.0,2.0,0,0,0,0.0,0,0,0
1002_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1002,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.17,2.175,0.3545341231030441,10,1.75,2.75,0,0,0,0.0,0,0,0
1003_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1003,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.75,1.75,,1,1.75,1.75,0,0,0,0.0,0,0,0
1004_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1004,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.09,2.09375,0.6258922202972101,8,1.25,3.0,0,0,2,0.25,0,0,0
1005_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1005,1,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.2,2.2,0.4830458915396479,10,1.5,3.0,0,0,1,0.1,0,0,0
1006_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1006,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.31,2.3125,0.2216013151069795,8,2.0,2.5,0,0,0,0.0,0,0,0
1008_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1008,1,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.09,2.09375,0.3994974521642338,8,1.5,2.75,0,0,0,0.0,0,0,0
1009_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1009,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.53,2.53125,0.4317220501334494,8,2.0,3.0,0,0,3,0.375,0,0,0
100_CAHS_Bachelor_of_Science_in_Midwifery_1sem_2022-2023,100,1,CAHS,Bachelor of Science in Midwifery,1sem,2022-2023,2022.0,1,1.55,1.55,0.3872983346207417,10,1.0,2.0,0,0,0,0.0,0,0,0
100_CAHS_Bachelor_of_Science_in_Nursing_1sem_2022-2023,100,0,CAHS,Bachelor of Science in Nursing,1sem,2022-2023,2022.0,1,1.7,1.7,0.5244044240850757,10,1.0,2.5,0,0,0,0.0,0,0,0
100_CBA_Bachelor_of_Science_in_Hospitality_Management_1sem_2022-2023,100,1,CBA,Bachelor of Science in Hospitality Management,1sem,2022-2023,2022.0,1,1.62,1.625,0.4629100498862757,8,1.0,2.25,0,0,0,0.0,0,0,0
100_CBA_Bachelor_of_Science_in_Tourism_Management_1sem_2022-2023,100,1,CBA,Bachelor of Science in Tourism Management,1sem,2022-2023,2022.0,1,1.54,1.5416666666666667,0.292261298612503,6,1.25,2.0,0,0,0,0.0,0,0,0
100_CCST_Bachelor_of_Science_in_Computer_Science_1sem_2022-2023,100,0,CCST,Bachelor of Science in Computer Science,1sem,2022-2023,2022.0,1,1.5,1.5,0.2165063509461096,9,1.25,2.0,0,0,0,0.0,0,0,0
100_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_1sem_2022-2023,100,0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1sem,2022-2023,2022.0,1,1.81,1.8125,0.3720119045714224,8,1.25,2.25,0,0,0,0.0,0,0,0
100_CCST_Bachelor_of_Science_in_Information_Technology_1sem_2022-2023,100,0,CCST,Bachelor of Science in Information Technology,1sem,2022-2023,2022.0,1,1.39,1.3928571428571428,0.3181045051401759,7,1.0,1.75,0,0,0,0.0,0,0,0
100_CEA_Bachelor_of_Science_in_Architecture_1sem_2022-2023,100,0,CEA,Bachelor of Science in Architecture,1sem,2022-2023,2022.0,1,1.9,1.9,0.6274950199005567,5,1.0,2.5,0,0,0,0.0,0,0,0
100_CEA_Bachelor_of_Science_in_Civil_Engineering_1sem_2022-2023,100,0,CEA,Bachelor of Science in Civil Engineering,1sem,2022-2023,2022.0,1,4.55,4.55,1.006230589874905,5,2.75,5.0,1,0,4,0.8,1,0,1
100_CEA_Bachelor_of_Science_in_Electrical_Engineering_1sem_2022-2023,100,0,CEA,Bachelor of Science in Electrical Engineering,1sem,2022-2023,2022.0,1,2.14,2.138888888888889,0.6627489050244528,9,1.0,3.0,0,0,2,0.2222222222222222,0,0,0
100_CEA_Bachelor_of_Science_in_Electronics_Engineering_1sem_2022-2023,100,1,CEA,Bachelor of Science in Electronics Engineering,1sem,2022-2023,2022.0,1,1.61,1.6111111111111112,0.3974746672570606,9,1.25,2.25,0,0,0,0.0,0,0,0
100_CEA_Bachelor_of_Science_in_Industrial_Engineering_1sem_2022-2023,100,1,CEA,Bachelor of Science in Industrial Engineering,1sem,2022-2023,2022.0,1,1.42,1.4166666666666667,0.4677071733467427,9,1.0,2.5,0,0,0,0.0,0,0,0
100_CEA_Bachelor_of_Science_in_Mechanical_Engineering_1sem_2022-2023,100,0,CEA,Bachelor of Science in Mechanical Engineering,1sem,2022-2023,2022.0,1,1.92,1.9166666666666667,0.5,9,1.25,2.5,0,0,0,0.0,0,0,0
100_COAS_Bachelor_of_Arts_in_Communication_1sem_2022-2023,100,0,COAS,Bachelor of Arts in Communication,1sem,2022-2023,2022.0,1,1.58,1.5833333333333333,0.3749999999999999,9,1.0,2.0,0,0,0,0.0,0,0,0
100_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,100,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.31,2.3125,0.3952847075210474,8,1.75,2.75,0,0,0,0.0,0,0,0
100_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_1sem_2022-2023,100,0,CTEC,Bachelor of Technical-Vocational Teacher Education,1sem,2022-2023,2022.0,1,1.62,1.625,0.4330127018922193,12,1.0,2.25,0,0,0,0.0,0,0,0
1010_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1010,1,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,3.64,3.642857142857143,1.2817398889233116,7,2.25,5.0,1,0,3,0.4285714285714285,1,0,1
1011_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1011,1,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.98,1.975,0.4779876799899995,10,1.25,2.75,0,0,0,0.0,0,0,0
1012_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1012,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,3.38,3.375,2.29809703885628,2,1.75,5.0,1,0,1,0.5,1,0,1
1013_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1013,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.8,1.8,0.3872983346207417,10,1.25,2.5,0,0,0,0.0,0,0,0
1014_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1014,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.5,1.5,,1,1.5,1.5,0,0,0,0.0,0,0,0
1015_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1015,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.34,2.34375,0.2651650429449553,8,2.0,2.75,0,0,0,0.0,0,0,0
1016_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1016,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.25,1.25,,1,1.25,1.25,0,0,0,0.0,0,0,0
1017_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1017,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.06,2.0625,0.3471825374147068,8,1.5,2.5,0,0,0,0.0,0,0,0
1018_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1018,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,3.03,3.03125,1.3258252147247769,8,1.5,5.0,1,0,4,0.5,1,0,1
1019_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1019,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.5,1.5,,1,1.5,1.5,0,0,0,0.0,0,0,0
