Year_Numeric,College,Total_Students,Dropout_Count,Dropout_Rate,Non_Dropout_Pct
2022.0,CAHS,2023,7,0.35,99.65
2022.0,CBA,2075,11,0.53,99.47
2022.0,CCST,2228,37,1.66,98.34
2022.0,CEA,6451,34,0.53,99.47
2022.0,COAS,746,0,0.0,100.0
2022.0,CTEC,2907,57,1.96,98.04
2023.0,CAHS,2892,25,0.86,99.14
2023.0,CBA,2858,47,1.64,98.36
2023.0,CCST,2898,37,1.28,98.72
2023.0,CEA,6880,193,2.81,97.19
2023.0,COAS,753,9,1.2,98.8
2023.0,CTEC,3306,128,3.87,96.13
2024.0,CAHS,3301,28,0.85,99.15
2024.0,CBA,3332,20,0.6,99.4
2024.0,CCST,3397,45,1.32,98.68
2024.0,CEA,7016,246,3.51,96.49
2024.0,COAS,780,1,0.13,99.87
2024.0,CTEC,3902,72,1.85,98.15
