Year_Numeric,College,Total_Students,Dropout_Count,Dropout_Rate,Non_Dropout_Pct
2022.0,CAHS,2023,6,0.3,99.7
2022.0,CBA,2075,11,0.53,99.47
2022.0,CCST,2228,23,1.03,98.97
2022.0,CEA,6451,24,0.37,99.63
2022.0,COAS,746,0,0.0,100.0
2022.0,CTEC,2907,46,1.58,98.42
2023.0,CAHS,2892,20,0.69,99.31
2023.0,CBA,2858,24,0.84,99.16
2023.0,CCST,2898,36,1.24,98.76
2023.0,CEA,6880,192,2.79,97.21
2023.0,COAS,753,6,0.8,99.2
2023.0,CTEC,3306,61,1.85,98.15
2024.0,CAHS,3301,28,0.85,99.15
2024.0,CBA,3332,20,0.6,99.4
2024.0,CCST,3397,45,1.32,98.68
2024.0,CEA,7016,246,3.51,96.49
2024.0,COAS,780,1,0.13,99.87
2024.0,CTEC,3902,72,1.85,98.15
