Year_Numeric,Sem_Numeric,College,Avg_GWA,Std_GWA,Student_Cnt
2022.0,1,CAHS,1.93,0.49,1020
2022.0,1,CBA,1.79,0.56,1049
2022.0,1,CCST,1.99,0.78,1142
2022.0,1,CEA,2.05,0.59,3248
2022.0,1,COAS,1.76,0.62,375
2022.0,1,CTEC,2.06,0.74,1498
2022.0,2,CAHS,1.73,0.43,1003
2022.0,2,CBA,1.55,0.48,1026
2022.0,2,CCST,1.78,0.69,1085
2022.0,2,CEA,2.09,0.57,3203
2022.0,2,COAS,1.68,0.45,371
2022.0,2,CTEC,1.96,0.64,1409
2023.0,1,CAHS,1.83,0.45,1473
2023.0,1,CBA,1.74,0.51,1446
2023.0,1,CCST,1.87,0.75,1494
2023.0,1,CEA,1.99,0.55,3510
2023.0,1,COAS,1.71,0.58,383
2023.0,1,CTEC,2.09,0.8,1707
2023.0,2,CAHS,1.65,0.4,1410
2023.0,2,CBA,1.61,0.49,1408
2023.0,2,CCST,1.77,0.64,1398
2023.0,2,CEA,2.05,0.59,3351
2023.0,2,COAS,1.72,0.46,369
2023.0,2,CTEC,1.98,0.61,1584
2024.0,1,CAHS,1.8,0.45,1668
2024.0,1,CBA,1.69,0.48,1679
2024.0,1,CCST,1.78,0.71,1736
2024.0,1,CEA,2.04,0.56,3550
2024.0,1,COAS,1.75,0.68,399
2024.0,1,CTEC,1.99,0.77,2001
2024.0,2,CAHS,1.72,0.38,1611
2024.0,2,CBA,1.57,0.45,1644
2024.0,2,CCST,1.75,0.65,1651
2024.0,2,CEA,2.05,0.58,3452
2024.0,2,COAS,1.77,0.61,381
2024.0,2,CTEC,1.91,0.65,1873
