Year_Numeric,Sem_Numeric,College,Total_Students,INC_Count,INC_Rate
2022.0,1,CAHS,1020,68,6.67
2022.0,1,CBA,1049,94,8.96
2022.0,1,CCST,1142,233,20.4
2022.0,1,CEA,3248,637,19.61
2022.0,1,COAS,375,52,13.87
2022.0,1,CTEC,1498,230,15.35
2022.0,2,CAHS,1003,102,10.17
2022.0,2,CBA,1026,81,7.89
2022.0,2,CCST,1086,278,25.6
2022.0,2,CEA,3203,1032,32.22
2022.0,2,COAS,371,34,9.16
2022.0,2,CTEC,1409,308,21.86
2023.0,1,CAHS,1481,178,12.02
2023.0,1,CBA,1449,183,12.63
2023.0,1,CCST,1498,350,23.36
2023.0,1,CEA,3524,838,23.78
2023.0,1,COAS,384,70,18.23
2023.0,1,CTEC,1722,613,35.6
2023.0,2,CAHS,1411,91,6.45
2023.0,2,CBA,1409,250,17.74
2023.0,2,CCST,1400,285,20.36
2023.0,2,CEA,3356,1063,31.67
2023.0,2,COAS,369,50,13.55
2023.0,2,CTEC,1584,508,32.07
2024.0,1,CAHS,1677,163,9.72
2024.0,1,CBA,1688,191,11.32
2024.0,1,CCST,1745,412,23.61
2024.0,1,CEA,3561,998,28.03
2024.0,1,COAS,399,81,20.3
2024.0,1,CTEC,2026,706,34.85
2024.0,2,CAHS,1624,183,11.27
2024.0,2,CBA,1644,218,13.26
2024.0,2,CCST,1652,429,25.97
2024.0,2,CEA,3455,1143,33.08
2024.0,2,COAS,381,55,14.44
2024.0,2,CTEC,1876,540,28.78
