Year_Numeric,Sem_Numeric,College,Total_Students,INC_Count,INC_Rate
2022.0,1,CAHS,1020,58,5.69
2022.0,1,CBA,1049,75,7.15
2022.0,1,CCST,1142,186,16.29
2022.0,1,CEA,3248,609,18.75
2022.0,1,COAS,375,44,11.73
2022.0,1,CTEC,1498,182,12.15
2022.0,2,CAHS,1003,63,6.28
2022.0,2,CBA,1026,43,4.19
2022.0,2,CCST,1086,140,12.89
2022.0,2,CEA,3203,872,27.22
2022.0,2,COAS,371,26,7.01
2022.0,2,CTEC,1409,148,10.5
2023.0,1,CAHS,1481,98,6.62
2023.0,1,CBA,1449,72,4.97
2023.0,1,CCST,1498,236,15.75
2023.0,1,CEA,3524,557,15.81
2023.0,1,COAS,384,37,9.64
2023.0,1,CTEC,1722,300,17.42
2023.0,2,CAHS,1411,55,3.9
2023.0,2,CBA,1409,86,6.1
2023.0,2,CCST,1400,175,12.5
2023.0,2,CEA,3356,840,25.03
2023.0,2,COAS,369,20,5.42
2023.0,2,CTEC,1584,216,13.64
2024.0,1,CAHS,1677,102,6.08
2024.0,1,CBA,1688,105,6.22
2024.0,1,CCST,1745,237,13.58
2024.0,1,CEA,3561,736,20.67
2024.0,1,COAS,399,49,12.28
2024.0,1,CTEC,2026,331,16.34
2024.0,2,CAHS,1624,111,6.83
2024.0,2,CBA,1644,99,6.02
2024.0,2,CCST,1652,223,13.5
2024.0,2,CEA,3455,771,22.32
2024.0,2,COAS,381,38,9.97
2024.0,2,CTEC,1876,274,14.61
