Year_Numeric,Sem_Numeric,College,Total_Students,Irregular_Count,Drop_Count,INC_Count,Irregular_Rate,Drop_Rate,INC_Rate
2022.0,1,CAHS,1020,58,4,58,5.69,0.39,5.69
2022.0,1,CBA,1049,75,10,75,7.15,0.95,7.15
2022.0,1,CCST,1142,186,16,186,16.29,1.4,16.29
2022.0,1,CEA,3248,609,11,609,18.75,0.34,18.75
2022.0,1,COAS,375,44,0,44,11.73,0.0,11.73
2022.0,1,CTEC,1498,183,28,182,12.22,1.87,12.15
2022.0,2,CAHS,1003,64,2,63,6.38,0.2,6.28
2022.0,2,CBA,1026,43,1,43,4.19,0.1,4.19
2022.0,2,CCST,1086,141,7,140,12.98,0.64,12.89
2022.0,2,CEA,3203,872,13,872,27.22,0.41,27.22
2022.0,2,COAS,371,26,0,26,7.01,0.0,7.01
2022.0,2,CTEC,1409,148,18,148,10.5,1.28,10.5
2023.0,1,CAHS,1481,114,19,98,7.7,1.28,6.62
2023.0,1,CBA,1449,82,20,72,5.66,1.38,4.97
2023.0,1,CCST,1498,250,20,236,16.69,1.34,15.75
2023.0,1,CEA,3524,629,97,557,17.85,2.75,15.81
2023.0,1,COAS,384,39,3,37,10.16,0.78,9.64
2023.0,1,CTEC,1722,323,41,300,18.76,2.38,17.42
2023.0,2,CAHS,1411,56,1,55,3.97,0.07,3.9
2023.0,2,CBA,1409,89,4,86,6.32,0.28,6.1
2023.0,2,CCST,1400,189,16,175,13.5,1.14,12.5
2023.0,2,CEA,3356,886,95,840,26.4,2.83,25.03
2023.0,2,COAS,369,23,3,20,6.23,0.81,5.42
2023.0,2,CTEC,1584,229,20,216,14.46,1.26,13.64
2024.0,1,CAHS,1677,112,11,102,6.68,0.66,6.08
2024.0,1,CBA,1688,120,16,105,7.11,0.95,6.22
2024.0,1,CCST,1745,259,26,237,14.84,1.49,13.58
2024.0,1,CEA,3561,799,90,736,22.44,2.53,20.67
2024.0,1,COAS,399,50,1,49,12.53,0.25,12.28
2024.0,1,CTEC,2026,380,57,331,18.76,2.81,16.34
2024.0,2,CAHS,1624,127,17,111,7.82,1.05,6.83
2024.0,2,CBA,1644,103,4,99,6.27,0.24,6.02
2024.0,2,CCST,1652,237,19,223,14.35,1.15,13.5
2024.0,2,CEA,3455,860,156,771,24.89,4.52,22.32
2024.0,2,COAS,381,38,0,38,9.97,0.0,9.97
2024.0,2,CTEC,1876,284,15,274,15.14,0.8,14.61
