Year_Numeric,Sem_Numeric,College,Headcount,Headcount_Prev,Growth_Rate
2022.0,1,CAHS,1020,,
2022.0,2,CAHS,1003,1020.0,-1.67
2023.0,1,CAHS,1481,1003.0,47.66
2023.0,2,CAHS,1411,1481.0,-4.73
2024.0,1,CAHS,1677,1411.0,18.85
2024.0,2,CAHS,1624,1677.0,-3.16
2022.0,1,CBA,1049,,
2022.0,2,CBA,1026,1049.0,-2.19
2023.0,1,CBA,1449,1026.0,41.23
2023.0,2,CBA,1409,1449.0,-2.76
2024.0,1,CBA,1688,1409.0,19.8
2024.0,2,CBA,1644,1688.0,-2.61
2022.0,1,CCST,1142,,
2022.0,2,CCST,1086,1142.0,-4.9
2023.0,1,CCST,1498,1086.0,37.94
2023.0,2,CCST,1400,1498.0,-6.54
2024.0,1,CCST,1745,1400.0,24.64
2024.0,2,CCST,1652,1745.0,-5.33
2022.0,1,CEA,3248,,
2022.0,2,CEA,3203,3248.0,-1.39
2023.0,1,CEA,3524,3203.0,10.02
2023.0,2,CEA,3356,3524.0,-4.77
2024.0,1,CEA,3561,3356.0,6.11
2024.0,2,CEA,3455,3561.0,-2.98
2022.0,1,COAS,375,,
2022.0,2,COAS,371,375.0,-1.07
2023.0,1,COAS,384,371.0,3.5
2023.0,2,COAS,369,384.0,-3.91
2024.0,1,COAS,399,369.0,8.13
2024.0,2,COAS,381,399.0,-4.51
2022.0,1,CTEC,1498,,
2022.0,2,CTEC,1409,1498.0,-5.94
2023.0,1,CTEC,1722,1409.0,22.21
2023.0,2,CTEC,1584,1722.0,-8.01
2024.0,1,CTEC,2026,1584.0,27.9
2024.0,2,CTEC,1876,2026.0,-7.4
