Year_Numeric,College,Course,Subject,Avg_Grade,Std_Grade,Student_Cnt,Fail_Count,Fail_Rate
2022.0,CAHS,Bachelor of Science in Midwifery,BTIP0112,1.5,,1,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,CPHC0613,1.7,0.6,44,1,2.27
2022.0,CAHS,Bachelor of Science in Midwifery,CPMP0100,2.43,0.65,223,27,12.11
2022.0,CAHS,Bachelor of Science in Midwifery,CPMP0104,1.54,0.11,36,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,CPMP0106,1.62,0.38,29,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,CPMP0108,1.54,0.17,35,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,CPMP0216,1.71,0.15,44,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,EGEC0103,1.94,0.69,216,9,4.17
2022.0,CAHS,Bachelor of Science in Midwifery,EGEC0203,1.78,0.7,217,7,3.23
2022.0,CAHS,Bachelor of Science in Midwifery,EGEC0303,1.75,,1,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,FCHM0113,2.21,0.93,36,4,11.11
2022.0,CAHS,Bachelor of Science in Midwifery,FMHE0413,1.94,0.24,61,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,FNAP0115,2.37,0.71,218,35,16.06
2022.0,CAHS,Bachelor of Science in Midwifery,FOLA0313,2.21,0.37,56,5,8.93
2022.0,CAHS,Bachelor of Science in Midwifery,FPHC0514,2.25,0.93,59,7,11.86
2022.0,CAHS,Bachelor of Science in Midwifery,FPHY0425,1.67,0.41,24,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,MATH3623,1.82,0.37,24,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,MIDP0102,3.01,0.97,46,16,34.78
2022.0,CAHS,Bachelor of Science in Midwifery,MIDP0104,1.61,0.21,36,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,MIDP0106,1.66,0.18,30,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,MIDP0107,2.1,0.36,34,1,2.94
2022.0,CAHS,Bachelor of Science in Midwifery,MIDP0108,1.62,0.32,35,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,MIDP0109,1.64,0.19,24,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,MIDP0111,2.02,0.27,30,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,MIDW0113,2.32,0.64,220,25,11.36
2022.0,CAHS,Bachelor of Science in Midwifery,NGEC0103,5.0,,1,1,100.0
2022.0,CAHS,Bachelor of Science in Midwifery,NGEC0203,2.17,0.86,215,18,8.37
2022.0,CAHS,Bachelor of Science in Midwifery,NGEC0403,2.26,0.6,214,10,4.67
2022.0,CAHS,Bachelor of Science in Midwifery,NGEC0513,1.77,0.37,58,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,NGEC0913,1.54,0.99,61,4,6.56
2022.0,CAHS,Bachelor of Science in Midwifery,NSTP0001,1.68,0.62,149,4,2.68
2022.0,CAHS,Bachelor of Science in Midwifery,NSTP0113,1.69,0.81,59,3,5.08
2022.0,CAHS,Bachelor of Science in Midwifery,PEDU0112,1.71,0.86,224,12,5.36
2022.0,CAHS,Bachelor of Science in Midwifery,PHED0422,1.19,0.15,59,0,0.0
2022.0,CAHS,Bachelor of Science in Midwifery,UIEC0101,1.7,0.96,223,16,7.17
2022.0,CAHS,Bachelor of Science in Nursing,ACIE0113,2.0,,1,0,0.0
2022.0,CAHS,Bachelor of Science in Nursing,EGEC0103,1.5,0.25,3,0,0.0
2022.0,CAHS,Bachelor of Science in Nursing,EGEC0203,1.58,0.4,13,0,0.0
2022.0,CAHS,Bachelor of Science in Nursing,EGEC0303,1.61,0.65,280,9,3.21
2022.0,CAHS,Bachelor of Science in Nursing,FNAP0115,2.09,0.55,272,9,3.31
2022.0,CAHS,Bachelor of Science in Nursing,FNBC0215,1.65,0.45,270,5,1.85
2022.0,CAHS,Bachelor of Science in Nursing,FOLA0103,1.5,,1,0,0.0
2022.0,CAHS,Bachelor of Science in Nursing,FOLA0313,1.81,0.31,156,0,0.0
2022.0,CAHS,Bachelor of Science in Nursing,GECO0313,2.5,,1,0,0.0
2022.0,CAHS,Bachelor of Science in Nursing,IEER0313,1.5,,1,0,0.0
2022.0,CAHS,Bachelor of Science in Nursing,IEIM0312,2.0,,1,0,0.0
