Year_Numeric,Sem_Numeric,College,Perf_Band,Count,Total,Pct
2022.0,1,CAHS,Average,215,1020,21.08
2022.0,1,CAHS,Below Average,46,1020,4.51
2022.0,1,CAHS,Excellent,89,1020,8.73
2022.0,1,CAHS,Failing,24,1020,2.35
2022.0,1,CAHS,Good,646,1020,63.33
2022.0,1,CBA,Average,69,1049,6.58
2022.0,1,CBA,Below Average,20,1049,1.91
2022.0,1,CBA,Excellent,221,1049,21.07
2022.0,1,CBA,Failing,37,1049,3.53
2022.0,1,CBA,Good,702,1049,66.92
2022.0,1,CCST,Average,133,1142,11.65
2022.0,1,CCST,Below Average,43,1142,3.77
2022.0,1,CCST,Excellent,234,1142,20.49
2022.0,1,CCST,Failing,110,1142,9.63
2022.0,1,CCST,Good,622,1142,54.47
2022.0,1,CEA,Average,831,3248,25.58
2022.0,1,CEA,Below Average,258,3248,7.94
2022.0,1,CEA,Excellent,254,3248,7.82
2022.0,1,CEA,Failing,167,3248,5.14
2022.0,1,CEA,Good,1738,3248,53.51
2022.0,1,COAS,Average,37,375,9.87
2022.0,1,COAS,Below Average,19,375,5.07
2022.0,1,COAS,Excellent,150,375,40.0
2022.0,1,COAS,Failing,15,375,4.0
2022.0,1,COAS,Good,154,375,41.07
2022.0,1,CTEC,Average,426,1498,28.44
2022.0,1,CTEC,Below Average,73,1498,4.87
2022.0,1,CTEC,Excellent,264,1498,17.62
2022.0,1,CTEC,Failing,102,1498,6.81
2022.0,1,CTEC,Good,633,1498,42.26
2022.0,2,CAHS,Average,111,1003,11.07
2022.0,2,CAHS,Below Average,10,1003,1.0
2022.0,2,CAHS,Excellent,322,1003,32.1
2022.0,2,CAHS,Failing,21,1003,2.09
2022.0,2,CAHS,Good,539,1003,53.74
2022.0,2,CBA,Average,28,1026,2.73
2022.0,2,CBA,Below Average,13,1026,1.27
2022.0,2,CBA,Excellent,590,1026,57.5
2022.0,2,CBA,Failing,19,1026,1.85
2022.0,2,CBA,Good,376,1026,36.65
2022.0,2,CCST,Average,97,1085,8.94
2022.0,2,CCST,Below Average,33,1085,3.04
2022.0,2,CCST,Excellent,436,1085,40.18
2022.0,2,CCST,Failing,62,1085,5.71
2022.0,2,CCST,Good,457,1085,42.12
2022.0,2,CEA,Average,865,3203,27.01
2022.0,2,CEA,Below Average,336,3203,10.49
2022.0,2,CEA,Excellent,219,3203,6.84
2022.0,2,CEA,Failing,187,3203,5.84
2022.0,2,CEA,Good,1596,3203,49.83
2022.0,2,COAS,Average,33,371,8.89
2022.0,2,COAS,Below Average,5,371,1.35
2022.0,2,COAS,Excellent,148,371,39.89
2022.0,2,COAS,Failing,7,371,1.89
2022.0,2,COAS,Good,178,371,47.98
2022.0,2,CTEC,Average,333,1409,23.63
2022.0,2,CTEC,Below Average,66,1409,4.68
2022.0,2,CTEC,Excellent,308,1409,21.86
2022.0,2,CTEC,Failing,73,1409,5.18
2022.0,2,CTEC,Good,629,1409,44.64
2023.0,1,CAHS,Average,229,1473,15.55
2023.0,1,CAHS,Below Average,34,1473,2.31
2023.0,1,CAHS,Excellent,276,1473,18.74
2023.0,1,CAHS,Failing,32,1473,2.17
2023.0,1,CAHS,Good,902,1473,61.24
2023.0,1,CBA,Average,141,1446,9.75
2023.0,1,CBA,Below Average,15,1446,1.04
2023.0,1,CBA,Excellent,433,1446,29.94
2023.0,1,CBA,Failing,35,1446,2.42
2023.0,1,CBA,Good,822,1446,56.85
2023.0,1,CCST,Average,126,1494,8.43
2023.0,1,CCST,Below Average,52,1494,3.48
2023.0,1,CCST,Excellent,479,1494,32.06
2023.0,1,CCST,Failing,114,1494,7.63
2023.0,1,CCST,Good,723,1494,48.39
2023.0,1,CEA,Average,881,3510,25.1
2023.0,1,CEA,Below Average,281,3510,8.01
2023.0,1,CEA,Excellent,477,3510,13.59
2023.0,1,CEA,Failing,154,3510,4.39
2023.0,1,CEA,Good,1717,3510,48.92
2023.0,1,COAS,Average,27,383,7.05
2023.0,1,COAS,Below Average,8,383,2.09
2023.0,1,COAS,Excellent,164,383,42.82
2023.0,1,COAS,Failing,18,383,4.7
2023.0,1,COAS,Good,166,383,43.34
2023.0,1,CTEC,Average,360,1707,21.09
2023.0,1,CTEC,Below Average,80,1707,4.69
2023.0,1,CTEC,Excellent,220,1707,12.89
2023.0,1,CTEC,Failing,155,1707,9.08
2023.0,1,CTEC,Good,892,1707,52.26
2023.0,2,CAHS,Average,117,1410,8.3
2023.0,2,CAHS,Below Average,14,1410,0.99
2023.0,2,CAHS,Excellent,591,1410,41.91
2023.0,2,CAHS,Failing,19,1410,1.35
2023.0,2,CAHS,Good,669,1410,47.45
2023.0,2,CBA,Average,84,1408,5.97
2023.0,2,CBA,Below Average,24,1408,1.7
2023.0,2,CBA,Excellent,649,1408,46.09
2023.0,2,CBA,Failing,30,1408,2.13
2023.0,2,CBA,Good,621,1408,44.11
2023.0,2,CCST,Average,128,1398,9.16
2023.0,2,CCST,Below Average,47,1398,3.36
2023.0,2,CCST,Excellent,532,1398,38.05
2023.0,2,CCST,Failing,71,1398,5.08
2023.0,2,CCST,Good,620,1398,44.35
2023.0,2,CEA,Average,853,3351,25.46
2023.0,2,CEA,Below Average,297,3351,8.86
2023.0,2,CEA,Excellent,346,3351,10.33
2023.0,2,CEA,Failing,202,3351,6.03
2023.0,2,CEA,Good,1653,3351,49.33
2023.0,2,COAS,Average,37,369,10.03
2023.0,2,COAS,Below Average,11,369,2.98
2023.0,2,COAS,Excellent,126,369,34.15
2023.0,2,COAS,Failing,7,369,1.9
2023.0,2,COAS,Good,188,369,50.95
2023.0,2,CTEC,Average,357,1584,22.54
2023.0,2,CTEC,Below Average,69,1584,4.36
2023.0,2,CTEC,Excellent,288,1584,18.18
2023.0,2,CTEC,Failing,103,1584,6.5
2023.0,2,CTEC,Good,767,1584,48.42
2024.0,1,CAHS,Average,221,1668,13.25
2024.0,1,CAHS,Below Average,39,1668,2.34
2024.0,1,CAHS,Excellent,370,1668,22.18
2024.0,1,CAHS,Failing,32,1668,1.92
2024.0,1,CAHS,Good,1006,1668,60.31
2024.0,1,CBA,Average,94,1679,5.6
2024.0,1,CBA,Below Average,25,1679,1.49
2024.0,1,CBA,Excellent,614,1679,36.57
2024.0,1,CBA,Failing,44,1679,2.62
2024.0,1,CBA,Good,902,1679,53.72
2024.0,1,CCST,Average,137,1736,7.89
2024.0,1,CCST,Below Average,56,1736,3.23
2024.0,1,CCST,Excellent,755,1736,43.49
2024.0,1,CCST,Failing,108,1736,6.22
2024.0,1,CCST,Good,680,1736,39.17
2024.0,1,CEA,Average,1025,3550,28.87
2024.0,1,CEA,Below Average,332,3550,9.35
2024.0,1,CEA,Excellent,454,3550,12.79
2024.0,1,CEA,Failing,170,3550,4.79
2024.0,1,CEA,Good,1569,3550,44.2
2024.0,1,COAS,Average,18,399,4.51
2024.0,1,COAS,Below Average,15,399,3.76
2024.0,1,COAS,Excellent,173,399,43.36
2024.0,1,COAS,Failing,24,399,6.02
2024.0,1,COAS,Good,169,399,42.36
2024.0,1,CTEC,Average,388,2001,19.39
2024.0,1,CTEC,Below Average,92,2001,4.6
2024.0,1,CTEC,Excellent,427,2001,21.34
2024.0,1,CTEC,Failing,171,2001,8.55
2024.0,1,CTEC,Good,923,2001,46.13
2024.0,2,CAHS,Average,170,1611,10.55
2024.0,2,CAHS,Below Average,20,1611,1.24
2024.0,2,CAHS,Excellent,458,1611,28.43
2024.0,2,CAHS,Failing,22,1611,1.37
2024.0,2,CAHS,Good,941,1611,58.41
2024.0,2,CBA,Average,78,1644,4.74
2024.0,2,CBA,Below Average,26,1644,1.58
2024.0,2,CBA,Excellent,884,1644,53.77
2024.0,2,CBA,Failing,28,1644,1.7
2024.0,2,CBA,Good,628,1644,38.2
2024.0,2,CCST,Average,141,1651,8.54
2024.0,2,CCST,Below Average,57,1651,3.45
2024.0,2,CCST,Excellent,710,1651,43.0
2024.0,2,CCST,Failing,91,1651,5.51
2024.0,2,CCST,Good,652,1651,39.49
2024.0,2,CEA,Average,907,3452,26.27
2024.0,2,CEA,Below Average,293,3452,8.49
2024.0,2,CEA,Excellent,347,3452,10.05
2024.0,2,CEA,Failing,200,3452,5.79
2024.0,2,CEA,Good,1705,3452,49.39
2024.0,2,COAS,Average,32,381,8.4
2024.0,2,COAS,Below Average,14,381,3.67
2024.0,2,COAS,Excellent,152,381,39.9
2024.0,2,COAS,Failing,19,381,4.99
2024.0,2,COAS,Good,164,381,43.04
2024.0,2,CTEC,Average,304,1873,16.23
2024.0,2,CTEC,Below Average,88,1873,4.7
2024.0,2,CTEC,Excellent,427,1873,22.8
2024.0,2,CTEC,Failing,108,1873,5.77
2024.0,2,CTEC,Good,946,1873,50.51
