Year_Numeric,College,Gender,Student_Count,Avg_GWA,Dropout_Rate,INC_Rate,Irregular_Rate,Gender_Label
2022.0,CAHS,0,512,1.78,0.0,7.03,7.03,Male
2022.0,CAHS,1,1511,1.87,0.46,8.87,8.93,Female
2022.0,CBA,0,667,1.73,0.45,10.64,10.64,Male
2022.0,CBA,1,1408,1.67,0.57,7.39,7.39,Female
2022.0,CCST,0,1475,1.96,1.76,25.15,25.49,Male
2022.0,CCST,1,753,1.87,1.46,18.59,19.39,Female
2022.0,CEA,-1,8,2.14,12.5,25.0,25.0,Unknown
2022.0,CEA,0,3874,2.14,0.65,27.31,27.39,Male
2022.0,CEA,1,2569,2.02,0.31,23.71,23.74,Female
2022.0,COAS,0,316,1.81,0.0,13.61,13.61,Male
2022.0,COAS,1,430,1.68,0.0,10.0,10.0,Female
2022.0,CTEC,0,1920,2.14,2.4,21.77,21.98,Male
2022.0,CTEC,1,987,1.89,1.11,12.16,12.26,Female
2023.0,CAHS,0,1115,1.76,0.81,9.6,10.4,Male
2023.0,CAHS,1,1777,1.77,0.9,9.12,9.68,Female
2023.0,CBA,0,1260,1.78,1.75,17.62,18.73,Male
2023.0,CBA,1,1598,1.69,1.56,13.2,14.14,Female
2023.0,CCST,0,1993,1.89,1.05,22.38,23.08,Male
2023.0,CCST,1,905,1.81,1.77,20.88,21.99,Female
2023.0,CEA,0,4373,2.09,3.06,29.54,31.26,Male
2023.0,CEA,1,2507,2.02,2.35,24.29,25.61,Female
2023.0,COAS,0,380,1.85,0.79,18.16,18.42,Male
2023.0,COAS,1,373,1.71,1.61,13.67,15.01,Female
2023.0,CTEC,0,2318,2.18,4.01,36.28,39.0,Male
2023.0,CTEC,1,988,2.03,3.54,28.34,30.47,Female
2024.0,CAHS,0,1342,1.8,0.97,12.97,13.86,Male
2024.0,CAHS,1,1959,1.76,0.77,8.78,9.49,Female
2024.0,CBA,0,1556,1.69,0.71,13.82,14.46,Male
2024.0,CBA,1,1776,1.64,0.51,10.92,11.43,Female
2024.0,CCST,0,2373,1.87,1.35,25.96,26.89,Male
2024.0,CCST,1,1024,1.78,1.27,21.97,23.05,Female
2024.0,CEA,0,4422,2.11,3.3,31.48,32.9,Male
2024.0,CEA,1,2594,2.06,3.86,28.87,30.72,Female
2024.0,COAS,0,409,1.87,0.24,20.29,20.54,Male
2024.0,COAS,1,371,1.74,0.0,14.29,14.29,Female
2024.0,CTEC,0,2834,2.1,1.94,34.26,35.71,Male
2024.0,CTEC,1,1068,1.91,1.59,25.75,26.97,Female
