Year_Numeric,College,Student_Count,Dropout_Rate,INC_Rate
2022.0,CAHS,1511,0.4,6.55
2022.0,CBA,1408,0.57,4.76
2022.0,CCST,753,0.53,12.48
2022.0,CEA,2569,0.27,21.92
2022.0,COAS,430,0.0,7.91
2022.0,CTEC,987,0.91,7.9
2023.0,CAHS,1777,0.73,5.68
2023.0,CBA,1598,0.69,4.69
2023.0,CCST,905,1.66,11.6
2023.0,CEA,2507,2.31,17.91
2023.0,COAS,373,0.8,5.9
2023.0,CTEC,988,1.52,13.46
2024.0,CAHS,1959,0.77,5.26
2024.0,CBA,1776,0.51,5.69
2024.0,CCST,1024,1.27,10.74
2024.0,CEA,2594,3.86,19.97
2024.0,COAS,371,0.0,8.89
2024.0,CTEC,1068,1.59,12.17
