Year_Numeric,College,Student_Count,Dropout_Rate,INC_Rate
2022.0,CAHS,512,0.0,7.03
2022.0,CBA,667,0.45,10.64
2022.0,CCST,1475,1.76,25.15
2022.0,CEA,3874,0.65,27.31
2022.0,COAS,316,0.0,13.61
2022.0,CTEC,1920,2.4,21.77
2023.0,CAHS,1115,0.81,9.6
2023.0,CBA,1260,1.75,17.62
2023.0,CCST,1993,1.05,22.38
2023.0,CEA,4373,3.06,29.54
2023.0,COAS,380,0.79,18.16
2023.0,CTEC,2318,4.01,36.28
2024.0,CAHS,1342,0.97,12.97
2024.0,CBA,1556,0.71,13.82
2024.0,CCST,2373,1.35,25.96
2024.0,CEA,4422,3.3,31.48
2024.0,COAS,409,0.24,20.29
2024.0,CTEC,2834,1.94,34.26
