Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Perf_Band,Count,Total,Pct
2022.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Average,2,13,15.38
2022.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Below Average,1,13,7.69
2022.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Excellent,2,13,15.38
2022.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Good,8,13,61.54
2022.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Average,1,11,9.09
2022.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Excellent,5,11,45.45
2022.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Good,5,11,45.45
2023.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Average,3,18,16.67
2023.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Below Average,4,18,22.22
2023.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Excellent,3,18,16.67
2023.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Good,8,18,44.44
2023.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Average,1,18,5.56
2023.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Excellent,5,18,27.78
2023.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Good,12,18,66.67
2024.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Average,9,25,36.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Below Average,1,25,4.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Excellent,1,25,4.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Failing,4,25,16.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Good,10,25,40.0
2024.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Average,11,18,61.11
2024.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,Good,7,18,38.89
2022.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Average,51,212,24.06
2022.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Below Average,9,212,4.25
2022.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Excellent,11,212,5.19
2022.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Failing,10,212,4.72
2022.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Good,131,212,61.79
2022.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Average,66,204,32.35
2022.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Below Average,4,204,1.96
2022.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Excellent,9,204,4.41
2022.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Failing,17,204,8.33
2022.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Good,108,204,52.94
2023.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Average,54,187,28.88
2023.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Below Average,6,187,3.21
2023.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Excellent,8,187,4.28
2023.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Failing,18,187,9.63
2023.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Good,101,187,54.01
2023.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Average,14,166,8.43
2023.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Below Average,6,166,3.61
2023.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Excellent,49,166,29.52
2023.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Failing,10,166,6.02
2023.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Good,87,166,52.41
2024.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Average,10,233,4.29
2024.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Below Average,3,233,1.29
2024.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Excellent,22,233,9.44
2024.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Failing,11,233,4.72
2024.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,Good,187,233,80.26
2024.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Average,14,212,6.6
2024.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Below Average,4,212,1.89
2024.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Excellent,69,212,32.55
2024.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Failing,5,212,2.36
2024.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,Good,120,212,56.6
2022.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Average,18,72,25.0
2022.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Below Average,3,72,4.17
2022.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Excellent,2,72,2.78
2022.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Failing,2,72,2.78
2022.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Good,47,72,65.28
2022.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,Average,11,70,15.71
