Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Total_Students,Irregular_Count,Drop_Count,INC_Count,Irregular_Rate,Drop_Rate,INC_Rate
2022.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,13,1,0,1,7.69,0.0,7.69
2022.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,11,0,0,0,0.0,0.0,0.0
2023.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,18,0,0,0,0.0,0.0,0.0
2023.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,18,0,0,0,0.0,0.0,0.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,25,4,0,4,16.0,0.0,16.0
2024.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,20,2,2,0,10.0,10.0,0.0
2022.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,212,20,0,20,9.43,0.0,9.43
2022.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,204,46,1,46,22.55,0.49,22.55
2023.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,192,42,7,36,21.88,3.65,18.75
2023.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,166,31,0,31,18.67,0.0,18.67
2024.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,236,25,3,22,10.59,1.27,9.32
2024.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,221,37,11,26,16.74,4.98,11.76
2022.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,72,9,0,9,12.5,0.0,12.5
2022.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,70,9,1,8,12.86,1.43,11.43
2023.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,176,29,1,28,16.48,0.57,15.91
2023.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,159,4,0,4,2.52,0.0,2.52
2024.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,147,27,1,26,18.37,0.68,17.69
2024.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,138,46,1,45,33.33,0.72,32.61
2022.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,33,5,1,5,15.15,3.03,15.15
2022.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,30,2,0,2,6.67,0.0,6.67
2023.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,45,9,3,7,20.0,6.67,15.56
2023.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,40,2,0,2,5.0,0.0,5.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,124,2,0,2,1.61,0.0,1.61
2024.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,117,1,0,1,0.85,0.0,0.85
2022.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,26,1,0,1,3.85,0.0,3.85
2022.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,24,0,0,0,0.0,0.0,0.0
2023.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,33,1,0,1,3.03,0.0,3.03
2023.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,29,2,0,2,6.9,0.0,6.9
2024.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,34,2,0,2,5.88,0.0,5.88
2024.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,33,1,0,1,3.03,0.0,3.03
2022.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,4,0,0,0,0.0,0.0,0.0
2022.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,4,1,0,1,25.0,0.0,25.0
2023.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,4,1,0,1,25.0,0.0,25.0
2023.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,5,0,0,0,0.0,0.0,0.0
2024.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,10,1,0,1,10.0,0.0,10.0
2024.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,11,0,0,0,0.0,0.0,0.0
2022.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,289,19,3,19,6.57,1.04,6.57
2022.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,289,4,0,4,1.38,0.0,1.38
2023.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,360,13,5,9,3.61,1.39,2.5
2023.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,349,7,1,6,2.01,0.29,1.72
2024.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,144,7,4,3,4.86,2.78,2.08
2024.0,2,CAHS,Bachelor of Science in Nursing,1st Year,1,138,6,0,6,4.35,0.0,4.35
2022.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,149,1,0,1,0.67,0.0,0.67
2022.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,146,1,0,1,0.68,0.0,0.68
2023.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,278,13,2,11,4.68,0.72,3.96
2023.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,275,4,0,4,1.45,0.0,1.45
2024.0,1,CAHS,Bachelor of Science in Nursing,2nd Year,2,343,37,1,36,10.79,0.29,10.5
2024.0,2,CAHS,Bachelor of Science in Nursing,2nd Year,2,339,21,1,21,6.19,0.29,6.19
2022.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,127,1,0,1,0.79,0.0,0.79
2022.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,129,1,0,1,0.78,0.0,0.78
2023.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,146,1,0,1,0.68,0.0,0.68
2023.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,146,1,0,1,0.68,0.0,0.68
2024.0,1,CAHS,Bachelor of Science in Nursing,3rd Year,3,266,3,1,2,1.13,0.38,0.75
2024.0,2,CAHS,Bachelor of Science in Nursing,3rd Year,3,262,4,0,4,1.53,0.0,1.53
2022.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,95,1,0,1,1.05,0.0,1.05
2022.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,96,0,0,0,0.0,0.0,0.0
2023.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,132,1,1,0,0.76,0.76,0.0
2023.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,133,0,0,0,0.0,0.0,0.0
2024.0,1,CAHS,Bachelor of Science in Nursing,4th Year,4,141,0,0,0,0.0,0.0,0.0
2024.0,2,CAHS,Bachelor of Science in Nursing,4th Year,4,141,1,1,0,0.71,0.71,0.0
2023.0,1,CAHS,Bachelor of Science in Public Health,Irregular,-1,1,0,0,0,0.0,0.0,0.0
2023.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,96,4,0,4,4.17,0.0,4.17
2023.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,91,5,0,5,5.49,0.0,5.49
2024.0,1,CAHS,Bachelor of Science in Public Health,1st Year,1,118,4,1,4,3.39,0.85,3.39
2024.0,2,CAHS,Bachelor of Science in Public Health,1st Year,1,115,5,0,5,4.35,0.0,4.35
2024.0,1,CAHS,Bachelor of Science in Public Health,2nd Year,2,89,0,0,0,0.0,0.0,0.0
2024.0,2,CAHS,Bachelor of Science in Public Health,2nd Year,2,89,3,1,2,3.37,1.12,2.25
2022.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,20,8,0,8,40.0,0.0,40.0
2022.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,16,4,0,4,25.0,0.0,25.0
2023.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,23,3,0,3,13.04,0.0,13.04
2023.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,21,7,1,6,33.33,4.76,28.57
2024.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,28,7,1,6,25.0,3.57,21.43
2024.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,27,3,0,3,11.11,0.0,11.11
2022.0,1,CBA,Bachelor of Science in Hospitality Management,1st Year,1,160,7,0,7,4.38,0.0,4.38
2022.0,2,CBA,Bachelor of Science in Hospitality Management,1st Year,1,159,10,0,10,6.29,0.0,6.29
2023.0,1,CBA,Bachelor of Science in Hospitality Management,1st Year,1,334,18,3,18,5.39,0.9,5.39
2023.0,2,CBA,Bachelor of Science in Hospitality Management,1st Year,1,323,34,0,34,10.53,0.0,10.53
2024.0,1,CBA,Bachelor of Science in Hospitality Management,1st Year,1,271,17,5,12,6.27,1.85,4.43
2024.0,2,CBA,Bachelor of Science in Hospitality Management,1st Year,1,257,12,0,12,4.67,0.0,4.67
2022.0,1,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,134,13,4,13,9.7,2.99,9.7
2022.0,2,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,128,7,0,7,5.47,0.0,5.47
2023.0,1,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,158,13,1,12,8.23,0.63,7.59
2023.0,2,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,153,11,1,11,7.19,0.65,7.19
2024.0,1,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,316,22,3,20,6.96,0.95,6.33
2024.0,2,CBA,Bachelor of Science in Hospitality Management,2nd Year,2,307,28,1,27,9.12,0.33,8.79
2022.0,1,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,88,10,2,10,11.36,2.27,11.36
2022.0,2,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,87,2,0,2,2.3,0.0,2.3
2023.0,1,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,126,4,0,4,3.17,0.0,3.17
2023.0,2,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,125,4,0,4,3.2,0.0,3.2
2024.0,1,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,153,9,0,9,5.88,0.0,5.88
2024.0,2,CBA,Bachelor of Science in Hospitality Management,3rd Year,3,150,9,1,8,6.0,0.67,5.33
2022.0,1,CBA,Bachelor of Science in Hospitality Management,4th Year,4,92,5,0,5,5.43,0.0,5.43
2022.0,2,CBA,Bachelor of Science in Hospitality Management,4th Year,4,93,1,0,1,1.08,0.0,1.08
2023.0,1,CBA,Bachelor of Science in Hospitality Management,4th Year,4,89,1,0,1,1.12,0.0,1.12
2023.0,2,CBA,Bachelor of Science in Hospitality Management,4th Year,4,88,3,0,3,3.41,0.0,3.41
2024.0,1,CBA,Bachelor of Science in Hospitality Management,4th Year,4,123,6,1,5,4.88,0.81,4.07
2024.0,2,CBA,Bachelor of Science in Hospitality Management,4th Year,4,120,4,0,4,3.33,0.0,3.33
2022.0,1,CBA,Bachelor of Science in Tourism Management,Irregular,-1,7,2,0,2,28.57,0.0,28.57
2022.0,2,CBA,Bachelor of Science in Tourism Management,Irregular,-1,5,0,0,0,0.0,0.0,0.0
2023.0,1,CBA,Bachelor of Science in Tourism Management,Irregular,-1,11,2,2,0,18.18,18.18,0.0
2023.0,2,CBA,Bachelor of Science in Tourism Management,Irregular,-1,12,0,0,0,0.0,0.0,0.0
2024.0,1,CBA,Bachelor of Science in Tourism Management,Irregular,-1,12,2,1,1,16.67,8.33,8.33
2024.0,2,CBA,Bachelor of Science in Tourism Management,Irregular,-1,12,1,0,1,8.33,0.0,8.33
2022.0,1,CBA,Bachelor of Science in Tourism Management,1st Year,1,159,20,1,20,12.58,0.63,12.58
2022.0,2,CBA,Bachelor of Science in Tourism Management,1st Year,1,151,12,1,12,7.95,0.66,7.95
2023.0,1,CBA,Bachelor of Science in Tourism Management,1st Year,1,295,25,3,24,8.47,1.02,8.14
2023.0,2,CBA,Bachelor of Science in Tourism Management,1st Year,1,280,19,0,19,6.79,0.0,6.79
2024.0,1,CBA,Bachelor of Science in Tourism Management,1st Year,1,239,23,2,21,9.62,0.84,8.79
2024.0,2,CBA,Bachelor of Science in Tourism Management,1st Year,1,232,17,0,17,7.33,0.0,7.33
2022.0,1,CBA,Bachelor of Science in Tourism Management,2nd Year,2,130,6,3,6,4.62,2.31,4.62
2022.0,2,CBA,Bachelor of Science in Tourism Management,2nd Year,2,126,3,0,3,2.38,0.0,2.38
2023.0,1,CBA,Bachelor of Science in Tourism Management,2nd Year,2,155,9,6,8,5.81,3.87,5.16
2023.0,2,CBA,Bachelor of Science in Tourism Management,2nd Year,2,150,8,2,6,5.33,1.33,4.0
2024.0,1,CBA,Bachelor of Science in Tourism Management,2nd Year,2,276,29,3,26,10.51,1.09,9.42
