Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Total_Students,Drop_Count,Drop_Rate
2022.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,13,0,0.0
2022.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,11,0,0.0
2023.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,18,0,0.0
2023.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,18,0,0.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,Irregular,-1,25,0,0.0
2024.0,2,CAHS,Bachelor of Science in Midwifery,Irregular,-1,20,2,10.0
2022.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,212,0,0.0
2022.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,204,1,0.49
2023.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,192,7,3.65
2023.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,166,0,0.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,1st Year,1,236,3,1.27
2024.0,2,CAHS,Bachelor of Science in Midwifery,1st Year,1,221,11,4.98
2022.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,72,0,0.0
2022.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,70,1,1.43
2023.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,176,1,0.57
2023.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,159,0,0.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,2nd Year,2,147,1,0.68
2024.0,2,CAHS,Bachelor of Science in Midwifery,2nd Year,2,138,1,0.72
2022.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,33,1,3.03
2022.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,30,0,0.0
2023.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,45,3,6.67
2023.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,40,0,0.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,3rd Year,3,124,0,0.0
2024.0,2,CAHS,Bachelor of Science in Midwifery,3rd Year,3,117,0,0.0
2022.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,26,0,0.0
2022.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,24,0,0.0
2023.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,33,0,0.0
2023.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,29,0,0.0
2024.0,1,CAHS,Bachelor of Science in Midwifery,4th Year,4,34,0,0.0
2024.0,2,CAHS,Bachelor of Science in Midwifery,4th Year,4,33,0,0.0
2022.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,4,0,0.0
2022.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,4,0,0.0
2023.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,4,0,0.0
2023.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,5,0,0.0
2024.0,1,CAHS,Bachelor of Science in Nursing,Irregular,-1,10,0,0.0
2024.0,2,CAHS,Bachelor of Science in Nursing,Irregular,-1,11,0,0.0
2022.0,1,CAHS,Bachelor of Science in Nursing,1st Year,1,289,3,1.04
